book_id,category,category_id
6016,Human ecology,385
6017,Fiction,5
6018,Computers,35
6019,Social Science,94
6020,Business & Economics,21
6021,Sports & Recreation,71
6022,Business & Economics,21
6023,Fiction,5
6024,Juvenile Fiction,9
6025,Juvenile Fiction,9
6026,Fiction,5
6027,Business & Economics,21
6028,Fiction,5
6029,Travel,85
6030,Language Arts & Disciplines,61
6031,Computers,35
6032,Fiction,5
6033,Biography & Autobiography,2
6034,Engineering,386
6035,Psychology,26
6036,Sports & Recreation,71
6037,"Insanity, Religious",387
6038,Family & Relationships,65
6039,Juvenile Nonfiction,16
6040,Computers,35
6041,Fiction,5
6042,Fiction,5
6043,Religion,25
6044,Fiction,5
6045,Architecture,114
6046,Nature,66
6047,Fiction,5
6048,Brand name products,388
6049,Juvenile Fiction,9
6050,Juvenile Fiction,9
6051,Fiction,5
6052,Architecture,114
6053,Reference,56
6054,Social Science,94
6055,Biography & Autobiography,2
6056,House & Home,110
6057,Psychology,26
6058,Social Science,94
6059,Biography & Autobiography,2
6060,Science,4
6061,Juvenile Fiction,9
6062,History,1
6063,Fiction,5
6064,Sports & Recreation,71
6065,History,1
6066,Language Arts & Disciplines,61
6067,Political Science,7
6068,Comics & Graphic Novels,12
6069,Biography & Autobiography,2
6070,History,1
6071,Family & Relationships,65
6072,History,1
6073,Science,4
6074,Juvenile Fiction,9
6075,Language Arts & Disciplines,61
6076,Language Arts & Disciplines,61
6077,FAMILY & RELATIONSHIPS,50
6078,True Crime,134
6079,Fiction,5
6080,Photography,117
6081,Literary Criticism,115
6082,Poetry,18
6083,Biography & Autobiography,2
6084,Poetry,18
6085,Humor,64
6086,London (England),389
6087,"Authors, French",390
6088,Psychology,26
